skill,vault_hunter,tree,branch,effect,image_url
Confirmative Reality,Harlowe,Cosmic Brilliance,,"Whenever Harlowe shoots an Entangled enemy, she and all allies restore a portion of their Action Skill Cooldown.",https://img.game8.co/4265898/c65f3ea00131a5abd115052093a217d1.png/show
Coronal Mass Ejection,Harlowe,Cosmic Brilliance,,Enemies inside Harlowe's Flux Generator lose all Elemental Resistances. Harlowe and her allies inside her Flux Generator gain increased Status Effect Chance.,https://img.game8.co/4265893/5dae478f075416e421fad75a03f6f1ec.png/show
Creative Overflow,Harlowe,Cosmic Brilliance,,"Harlowe deals increased Gun Damage based on her Overshield. The more Overshield she has, the bigger the bonus.",https://img.game8.co/4265895/554b04eb8b3d63a1991c5ef33f4b2b67.png/show
Heat Death,Harlowe,Cosmic Brilliance,,Harlowe gains increased Cryo Efficiency.,https://img.game8.co/4265896/6360e8d601a6c0d2586cd06bed45f082.png/show
Mains Hum,Harlowe,Cosmic Brilliance,,Harlowe gains increased Maximum Shield Capacity and increased Maximum Overshield Capacity.,https://img.game8.co/4265891/66a69332464001d8cf7b3208b46bba0f.png/show
Mass Function,Harlowe,Cosmic Brilliance,,Harlowe and her allies gain increased Reload Speed for every Entangled enemy.,https://img.game8.co/4265889/e4659331b9a88aa7d42e3afba3b30e7c.png/show
Momentum,Harlowe,Cosmic Brilliance,,"Whenever Harlowe Entangles an enemy, she and her allies deal increased Critical Hit Damage.",https://img.game8.co/4265892/61c9d83cb0657e1c7c0ff3a03aa5734a.png/show
Neutron Decay,Harlowe,Cosmic Brilliance,,"Whenever Harlowe Irradiates an enemy, she gains increased Gun Damage. This effect can stack.",https://img.game8.co/4265888/73d1529b9f69d681224162bf090a0eda.png/show
Personal Observation,Harlowe,Cosmic Brilliance,,Harlowe deals increased Melee Damage and her Melee Attacks gain a chance to Entangle enemies.,https://img.game8.co/4265886/4254e4f19cafee1fb4c0d15422abce2b.png/show
Resonance Cascade,Harlowe,Cosmic Brilliance,,"Whenever Harlowe deals Radiation Damage to an enemy, she gains increased Action Skill Damage. This effect can stack.",https://img.game8.co/4265894/f1a71e693f19998e7f301db498a7bfb0.png/show
Bleeding Edge,Harlowe,Creative Bursts,,Harlowe gains increased Reload Speed.,https://img.game8.co/4265796/910650504424410d98b4b641bfaf7896.png/show
Cyclotron,Harlowe,Creative Bursts,,Harlowe gains increased Fire Rate.,https://img.game8.co/4265790/ed2af2ef9106d5116320f2c7bc30a7b4.png/show
Elementary,Harlowe,Creative Bursts,,Harlowe gains increased Elemental Damage and Status Effect Damage.,https://img.game8.co/4265795/86bfe14540db186d831e12d724eaeb53.png/show
Elephant's Foot,Harlowe,Creative Bursts,,"Whenever Harlowe's Shield breaks, she deals Radiation Damage to all Entangled enemies. Harlowe gains Overshield equal to the amount of Damage dealt this way.",https://img.game8.co/4265800/c287ec58a35b30b625eb15fe357af5c8.png/show
Enriched,Harlowe,Creative Bursts,,Harlowe gains increased Radiation Damage.,https://img.game8.co/4288761/1aaa03b996d44cbf05f007abe6491246.png/show
Field-Ready Prototype,Harlowe,Creative Bursts,,Harlowe gains increased Action Skill Damage.,https://img.game8.co/4265797/85ec48481581185d157e538ff55857e6.png/show
Fuzzy Math,Harlowe,Creative Bursts,,Harlowe gains increased Status Effect Chance.,https://img.game8.co/4280265/b08a75216008bc7cc504a0f8a54806c9.png/show
Get Up and Go,Harlowe,Creative Bursts,,"Whenever Harlowe activates or retriggers an Action Skill, she gains increased Movement Speed.",https://img.game8.co/4265798/0fd50638b10ad5eadc80987bc4a9521e.png/show
Great Red DoT,Harlowe,Creative Bursts,,Harlowe gains increased Status Effect Duration.,https://img.game8.co/4265804/49d5c503ca80be989559742469ab59ba.png/show
Neutron Capture,Harlowe,Creative Bursts,,"All Damage Harlowe's Unstable Energy Pocket deals to enemies is stored. Whenever it explodes, a portion of that Stored Damage is transferred to Harlowe's Gun, causing her to deal Bonus Radiation Damage.",https://img.game8.co/4265799/8e7891157d8861e2a05fadae31ce99c4.png/show
PPE,Harlowe,Creative Bursts,,Harlowe gains increased Maximum Shield Capacity and Shield Recharge Rate.,https://img.game8.co/4265794/88ed0b1a8a887be4d16e186ef722bdee.png/show
Test Subjects,Harlowe,Creative Bursts,,"Whenever Harlowe applies a Status Effect to an enemy, she gains increased Action Skill Cooldown Rate.",https://img.game8.co/4265792/9eb77acbc39133ed6d8712ec0f996bfb.png/show
Voidstar,Harlowe,Creative Bursts,,"Whenever Harlowe's Unstable Energy Pocket passes by an enemy, it loses a portion of its current Total Health and becomes Frozen.",https://img.game8.co/4265793/049b0f51be7a7ceeafbdfb2a9c80b32c.png/show
Bright Future,Harlowe,Seize the Day,,"Whenever Harlowe triggers or retriggers an Action Skill, she gains increased Fire Rate.",https://img.game8.co/4265853/64ee1f4bdc8f4a1e7412e824a1f983f2.png/show
Cryodynamics,Harlowe,Seize the Day,,Harlowe gains increased Cryo Damage.,https://img.game8.co/4265864/ae6b46bf26c4812cfd7992df72542353.png/show
Make Extraordinary,Harlowe,Seize the Day,,Harlowe gains Critical Hit Chance with all Skills. This chance increases every time Harlowe Entangles an enemy. This effect can stack.,https://img.game8.co/4265856/1207eb0c98afcc7da46b2e82afb51b93.png/show
Negative Entropy,Harlowe,Seize the Day,,Harlowe gains increased Gun Handling. This bonus is Doubled while an enemy is in Stasis.,https://img.game8.co/4265852/de8c8b2e4dd51616ffd4da69f5498bd0.png/show
Parallel Circuit,Harlowe,Seize the Day,,"After triggering or retriggering an Action Skill, Harlowe gains increased Gun Damage.",https://img.game8.co/4265854/72e2aec77e07c2551f15a89bda007b11.png/show
Peer Review,Harlowe,Seize the Day,,"Whenever an enemy enters Stasis, spawn a homing Rejuvenating Projectile that targets Harlowe or her Allies once the enemy is Slammed, killed, or Stasis ends. The Rejuvenating Projectile grants decreased Action Skill Duration Rate and increased Action Skill Cooldown Rate for a Duration. If the target is in Fight for Your Life, they immediately gain Second Wind as if they killed an enemy.",https://img.game8.co/4265858/db8eb0399323577e5559c0e45e239195.png/show
Periodic Table Flip,Harlowe,Seize the Day,,"Harlowe gains increased Elemental Damage, Status Effect Application Chance, and Cryo Effectiveness.",https://img.game8.co/4265851/5aee65bbb4fb28adb7f4955a8f3c915a.png/show
Pulse Drive,Harlowe,Seize the Day,,Harlowe gains increased Action Skill Cooldown Rate.,https://img.game8.co/4265849/390941f6bfbc79cbf8d375d83059aa9a.png/show
Quantum Immortality,Harlowe,Seize the Day,,"Whenever Harlowe Entangles an enemy, she gains Health Regeneration.",https://img.game8.co/4265848/5ad4616d3a4e8ba085c32a54b043d3e0.png/show
Ripple Effect,Harlowe,Seize the Day,,"Kill Skill. Whenever Harlowe kills an Entangled enemy, automatically Entangle another nearby enemy.",https://img.game8.co/4265857/e125eeb3747baf464c865f37319c7296.png/show
Strange Attractor,Harlowe,Seize the Day,,"Whenever Harlowe shoots an enemy with a Gun, bullets Ricochet off of that enemy onto all enemies in Stasis. If Harlowe Critically Hits an enemy, that enemy becomes Entangled.",https://img.game8.co/4265850/69125f22a3132b271a66ba8ef8217530.png/show
Too Coolant For Schoolant,Harlowe,Seize the Day,,"Whenever Harlowe deals Cryo Damage, gain increased Action Skill Cooldown Rate.",https://img.game8.co/4265855/f57ae0849905eb72c957c726c102517c.png/show
Blue Shift,Harlowe,Cosmic Brilliance,Branch 1,"While her Action Skill is Cooling Down, Harlowe deals Bonus Cryo Damage with her Melee Attacks. While her Action Skill is Active, Harlowe deals Bonus Radiation Damage with her Melee Attacks.",https://img.game8.co/4265900/54abb921dd7161cda110ee3e61044d6d.png/show
Decoherence,Harlowe,Cosmic Brilliance,Branch 1,Harlowe deals increased Damage with all sources to Entangled enemies. Enemies inside of her Flux Generator take further increased Damage.,https://img.game8.co/4265899/335fe141a25f7b00c32e6e427e5fc751.png/show
Feedback Loop,Harlowe,Cosmic Brilliance,Branch 1,"Whenever Harlowe Entangles an enemy, she gains increased Action Skill Damage, Action Skill Duration, and Action Skill Cooldown Rate. This effect can stack.",https://img.game8.co/4288759/1e42163880abbf157f6ca2c4b09b5f87.png/show
Latent Charge,Harlowe,Cosmic Brilliance,Branch 1,"Harlowe deals Bonus Damage with Guns, Melee Attacks, and Action Skills while she has Overshield. The more Overshield she has, the bigger the bonus.",https://img.game8.co/4265907/1730b98eb2a14426358e8024d50fe2f3.png/show
Potential Transference,Harlowe,Cosmic Brilliance,Branch 1,"Charge Skill. Whenever Harlowe relocates her Flux Generator, it Teleports to a location in her crosshairs, consuming a Charge and creating a Shock Burst that deals Shock Damage to enemies inside it, grants a free Second Wind to allies, and Heals allies within the Flux Generator.",https://img.game8.co/4265915/3d24666086dc37feebf0dee7df8a759c.png/show
Runaway Reaction,Harlowe,Cosmic Brilliance,Branch 1,"Harlowe gains increased Status Effect Chance. Whenever Harlowe applies a Status Effect to an enemy, it becomes Entangled.",https://img.game8.co/4265908/f877269960f061feca4d7407d41b15f0.png/show
Unified Theory,Harlowe,Cosmic Brilliance,Branch 1,Harlowe's Flux Generator gains increased Action Skill Damage. This effect is increased based on how many Allies and Enemies are inside of her Flux Generator.,https://img.game8.co/4265901/7201bebf2ac1c9714e7df4b5ffc5a938.png/show
Break the Ice,Harlowe,Creative Bursts,Branch 1,Convert all CHROMA Accelerator Damage to Cryo Damage.,https://img.game8.co/4265805/83bc5150709643c69f6b657b1e4c6559.png/show
Carry the One,Harlowe,Creative Bursts,Branch 1,"Whenever Harlowe Entangles an enemy, she gains a chance to Entangle another nearby enemy.",https://img.game8.co/4265801/b735900e81abedcdfa865a38f0a8901f.png/show
Cold Welding,Harlowe,Creative Bursts,Branch 1,"Whenever Harlowe Freezes an Entangled enemy, it deals Cryo Damage to itself and all other Entangled enemies.",https://img.game8.co/4265806/7b89611950dd9b9d6bd55f8cf9d81788.png/show
Core Sample,Harlowe,Creative Bursts,Branch 1,"Harlowe gains Lifesteal against Frozen enemies. If she's at full Health, she gains Overshield instead.",https://img.game8.co/4265807/e8f3d31c9217d50dd31be22caaafc9ac.png/show
Field Research,Harlowe,Creative Bursts,Branch 1,"Whenever Harlowe kills an enemy with her Unstable Energy Pocket and when she kills an Entangled enemy while her Unstable Energy Pocket is active, refund a portion of her next Action Skill Cooldown.",https://img.game8.co/4265802/a0fc12a4cad04282d3f04bcc6b412130.png/show
Opposing Force,Harlowe,Creative Bursts,Branch 1,"Whenever Harlowe Freezes an enemy, she gains increased Action Skill Cooldown rate. This effect can stack.",https://img.game8.co/4265817/b50e868e49e6dfc81e8ba3187f37fd2c.png/show
Practical Applications,Harlowe,Creative Bursts,Branch 1,Harlowe gains increased Skill Damage.,https://img.game8.co/4265808/a5e04565e798c3ac287664be678c8f7c.png/show
Q-Ball,Harlowe,Creative Bursts,Branch 1,"Harlowe's Unstable Energy Pocket bounces as it travels and can no longer be manually detonated. Each time it bounces, it creates a Radiation Explosion. Whenever it strikes an enemy, it changes direction and bounces towards another enemy.",https://img.game8.co/4265803/2eaaf9938dca7c6a4db60be16abc6fdd.png/show
Concurrence,Harlowe,Seize the Day,Branch 1,Harlowe gains increased Action Skill Duration for every Entangled enemy.,https://img.game8.co/4265859/9e369129d3d2787a7a3ac67a8e16b271.png/show
Control Group,Harlowe,Seize the Day,Branch 1,Kill Skill. Killing an Entangled enemy restores a portion of Harlowe's Action Skill Cooldown and Action Skill Duration.,https://img.game8.co/4265860/8ea7935ff58efec3cff83d7fb1a5e645.png/show
Falling Bodies,Harlowe,Seize the Day,Branch 1,"Pressing Action Skillplaces an additional enemy in Stasis at the cost of Action Skill Duration. When Stasis ends, automatically Slam all enemies straight down.",https://img.game8.co/4265873/5944d6dfc613ecaf1bb54f43e254887a.png/show
Force of Will,Harlowe,Seize the Day,Branch 1,"Whenever Harlowe Critically Hits an enemy, Daze that enemy. Dazed enemies have decreased Movement Speed and Attack Speed. Daze can stack.",https://img.game8.co/4265861/509092718e1f1ee1d6bbeea27555a9f0.png/show
Freeze Frame,Harlowe,Seize the Day,Branch 1,Harlowe's Guns deal Bonus Cryo Damage for every enemy she has in Stasis. This effect can stack.,https://img.game8.co/4265863/14f2ce2dcc5b72ade8bcaf38069dc163.png/show
Slingshot,Harlowe,Seize the Day,Branch 1,"Whenever Harlowe Dazes an enemy, she also Entangles them, and then she gains increased Movement Speed.",https://img.game8.co/4265865/382bcf83f98504ef84f884f0e18e3981.png/show
Stun Lock,Harlowe,Seize the Day,Branch 1,"Whenever Harlowe Critically Hits an enemy, she briefly puts that enemy into Stasis. This form of Stasis lasts for a short duration, or until the enemy is shot again.",https://img.game8.co/4265880/5c0771aa6b787cd7c840946445f4717b.png/show
Wildcat Destabilization,Harlowe,Seize the Day,Branch 1,"Entangled enemies take Bonus Radiation Damage from Entangle. Whenever Harlowe deals Radiation Gun Damage to an enemy, restore Action Skill Duration. Whenever Harlowe kills an enemy in Stasis, create a Radiation Nova. This Radiation Nova deals Damage based on remaining Action Skill Duration.",https://img.game8.co/4265862/1742d94189a246f941cade793da87327.png/show
Critical Funding,Harlowe,Cosmic Brilliance,Branch 2,"Whenever Harlowe Critically Hits an enemy, she gains a chance to Entangle it, and Refills a portion of her Gun's Magazine.",https://img.game8.co/4265913/fa53f439e01663674f0d9a2ab60a6e94.png/show
Exposed Core,Harlowe,Cosmic Brilliance,Branch 2,"While her Shield is down, Harlowe gains increased Status Effect Chance.",https://img.game8.co/4265914/d4aac94bbd1c2e2944a9f6e621a2e103.png/show
Gamma Ray Burst,Harlowe,Cosmic Brilliance,Branch 2,"Whenever Harlowe retriggers her Action Skill, the next shot fired from her Gun drains her Shield and deals Bonus Radiation Damage based on the amount drained.",https://img.game8.co/4265912/5fce864ac4abd5b64a778bd97c5da0d7.png/show
Harlowe's Certainty Principle,Harlowe,Cosmic Brilliance,Branch 2,"Harlowe gains increased Gun Handling, which is further increased with every enemy in her Flux Generator.",https://img.game8.co/4265911/dd88935b9124682dc5e4162034aeb7b2.png/show
Jaunt,Harlowe,Cosmic Brilliance,Branch 2,Press and hold Melee Attack to make Harlowe swap places with her Flux Generator.,https://img.game8.co/4265905/1e7ff2e87a593702202b47440a5e3c47.png/show
Meltdown,Harlowe,Cosmic Brilliance,Branch 2,Harlowe's Critical Hits with Guns deal Bonus Radiation Damage.,https://img.game8.co/4265909/ca78663679f63d406583f487b8493b72.png/show
Nuclear Winter,Harlowe,Cosmic Brilliance,Branch 2,"Whenever Harlowe and her allies are inside the Flux Generator's Radius, they deal Bonus Cryo Damage. Whenever Harlowe and her allies leave the Flux Generator's Radius, they instead deal Bonus Radiation Damage for a Duration. Whenever Harlowe inflicts Cryo or Radiation Status Effects, that enemy becomes Entangled.",https://img.game8.co/4265902/5254e6d2d5a8e4a73047dd0c4bcd1d70.png/show
Violent Horizon,Harlowe,Cosmic Brilliance,Branch 2,"Harlowe's Flux Generator occasionally shoots Radiation Projectiles at nearby enemies outside of its radius. If these Projectiles Irradiate an enemy, the Flux Generator then drags them within its radius. Retrigger: Harlowe's Flux Generator creates a Singularity burst that drags in nearby enemies and increases Action Skill Power.",https://img.game8.co/4265904/229ff4dab93c6cc17e2896fa81a8c0bb.png/show
Chain Reactor,Harlowe,Creative Bursts,Branch 2,Harlowe deals Bonus Radiation Damage to Entangled enemies.,https://img.game8.co/4265821/efd0c471c30af8b93e986b6ee0a5d035.png/show
Demon Core,Harlowe,Creative Bursts,Branch 2,"As Harlowe's Unstable Energy Pocket travels, it shoots Radiation Darts at enemies. Whenever Harlowe Entangles an enemy while her Action Skill is active, automatically Irradiate that enemy.",https://img.game8.co/4265825/184b1fbd39a0e42c9d95fb8683e8bee4.png/show
Dirty Bomb,Harlowe,Creative Bursts,Branch 2,"Whenever Harlowe Irradiates an enemy, create a Radiation Explosion on that enemy.",https://img.game8.co/4265822/93d7de37bf57ffd5f7a1230d1250e418.png/show
Fissile Launcher,Harlowe,Creative Bursts,Branch 2,"Whenever Harlowe damages an Irradiated enemy or an Entangled enemy, shoot a Radiation Dart at another enemy.",https://img.game8.co/4265810/d660bda8f0a36cb14e1c16f128957139.png/show
Glow Up,Harlowe,Creative Bursts,Branch 2,Harlowe gains Critical Hit Chance with Guns against Irradiated enemies.,https://img.game8.co/4265811/bd78d265001dda55485533d3aea217d8.png/show
Poisoned Sun,Harlowe,Creative Bursts,Branch 2,Harlowe gains increased Radiation Damage and Irradiation Chance.,https://img.game8.co/4265816/e3dcc2bc73ec2ed0668b94dd8a4d2e72.png/show
Special Purpose Magnets,Harlowe,Creative Bursts,Branch 2,"Harlowe's Unstable Energy Pocket pulls enemies along as it passes by, and its detonation deals increased Damage for every enemy it has already hit.",https://img.game8.co/4265818/a50e4a68ba97c3448634f5ac08952fba.png/show
Wasted,Harlowe,Creative Bursts,Branch 2,Kill Skill. Killing an Irradiated enemy or killing an enemy with Radiation Damage leaves behind a Radiation Hazard.,https://img.game8.co/4265809/5ff7041a39be76e41daaa6f58dd88a94.png/show
Cold Plunge,Harlowe,Seize the Day,Branch 2,"Whenever Harlowe Slams an enemy, create a Singularity on that enemy, followed by a Cryo Explosion.",https://img.game8.co/4265868/9b4e89af060012f05b45d4f34718dd0f.png/show
Cold Storage,Harlowe,Seize the Day,Branch 2,"All Damage Dealt to enemies in Stasis is stored. Whenever an enemy is Slammed or Stasis ends, create a Cryo Explosion based on all Stored Damage and centered on that enemy, and also automatically Freeze other enemies nearby.",https://img.game8.co/4265875/6826c48319dfbfc7bac541055388a171.png/show
Endothermic Reaction,Harlowe,Seize the Day,Branch 2,"Whenever Harlowe Freezes an enemy, create an Endothermic Aura that deals constant Cryo Damage to enemies around it. Harlowe's Endothermic Aura deals increased Damage based on her Overshield. The more full, the greater the bonus",https://img.game8.co/4265876/8519734dd80dea3a631a185e95026117.png/show
Flash Freeze,Harlowe,Seize the Day,Branch 2,"Whenever Harlowe deals Cryo Damage with an Action Skill, she gains a chance to Freeze that enemy.",https://img.game8.co/4265867/373faae54b7b8905d9dcad3c5a3c4a29.png/show
Heat Sink,Harlowe,Seize the Day,Branch 2,"Whenever Harlowe Freezes an enemy, she gains increased Action Skill Cooldown Rate.",https://img.game8.co/4265878/4821fc9d84bd3338713a6cf5d1c1876b.png/show
Keep Ice On That,Harlowe,Seize the Day,Branch 2,"All Cryo Damage Harlowe deals gains Lifesteal. If Harlowe's Health is full, she gains Overshield instead.",https://img.game8.co/4265870/ece7d2dd13d50340210f95b046c70a82.png/show
Triple Point,Harlowe,Seize the Day,Branch 2,"Whenever Harlowe deals non-Cryo Damage to an Entangled enemy, she deals Bonus Cryo Damage to that enemy. If she deals Cryo Damage to an Entangled enemy, she deals increased bonus Damage.",https://img.game8.co/4265881/4b99616d4bf22369af48f78237686b42.png/show
Unstable Ice-otope,Harlowe,Seize the Day,Branch 2,Kill Skill. Harlowe deals Bonus Cryo Damage with all sources.,https://img.game8.co/4265877/396b7c4b31f802cee0dc7f11b0ab1ce7.png/show
Accretion,Harlowe,Cosmic Brilliance,Branch 3,Harlowe and her allies gain Lifesteal against Entangled enemies.,https://img.game8.co/4265918/d6b26afb0db838b3f7986b8e5a7a1760.png/show
Annihilation,Harlowe,Cosmic Brilliance,Branch 3,"Harlowe's Flux Generator occasionally throws Grenades. If Harlowe or her Allies are inside the Flux Generator and have a Grenade equipped, it throws a copy of that Grenade.",https://img.game8.co/4265917/ce0583a2566ac5f095f2701951255857.png/show
Distribution Function,Harlowe,Cosmic Brilliance,Branch 3,"Whenever Harlowe's Action Skill damages an enemy, restore a portion of her and all allies' Shield Capacity. If their Shields are full, gain Overshield instead.",https://img.game8.co/4265910/221cfb144590fcba99e220da2cd192ee.png/show
Excited State,Harlowe,Cosmic Brilliance,Branch 3,"Harlowe gains increased Critical Hit Damage. Whenever an enemy is damaged by Harlowe's Action Skill, the next shot on that enemy will be an Automatic Critical Hit.",https://img.game8.co/4265919/ca1d757df5c66ace4a648c2ff08ce08e.png/show
Group Study,Harlowe,Cosmic Brilliance,Branch 3,"Harlowe spawns a HALO Sidekick for each ally instead of her Flux Generator. HALO Sidekicks automatically fly to each ally and hover near them, granting increased Gun Damage, Fire Rate, and Reload Speed. Action Skill Retrigger: Overload Harlowe's HALO Sidekicks to increase their effects. This effect stacks. While Overloaded, Harlowe's Action Skill Duration drains faster.",https://img.game8.co/4265885/11be2ba0ace6242cd192d9e6642df249.png/show
Pencils Down,Harlowe,Cosmic Brilliance,Branch 3,"While Harlowe's Action Skill is Cooling Down, she grants herself and her allies increased Reload Speed and Fire Rate.",https://img.game8.co/4265920/d914b13a29b959cfcf88e2f9d0b65849.png/show
Perpetual Engine,Harlowe,Cosmic Brilliance,Branch 3,"When Harlowe activates her Flux Generator, she gains Damage Reduction and increased Action Skill Duration for each Entangled enemy and each additional enemy she Entangles while her Action Skill is active.",https://img.game8.co/4265903/ff470ad3acf60895e72c2eb6b92f2ead.png/show
Refraction,Harlowe,Cosmic Brilliance,Branch 3,Harlowe and her allies gain Ricochet Chance against Entangled enemies. Critical Hits Double this chance. Ricochets have Reduced Damage.,https://img.game8.co/4265916/bf630575b5f0cb01816ff5d5801accb5.png/show
Alternative Fuel Source,Harlowe,Creative Bursts,Branch 3,"Whenever Harlowe activates CHROMA Accelerator, drain her Shield and Amp her next Unstable Energy Pocket.",https://img.game8.co/4265823/f49d9c66fee1c4899edf7f5074139753.png/show
Containment Breach,Harlowe,Creative Bursts,Branch 3,"Whenever Harlowe's Unstable Energy Pocket detonates, it Splits into several smaller, fast moving Unstable Energy Pockets.",https://img.game8.co/4265824/43d85bc899438fd732035acdcfd16088.png/show
Eureka!,Harlowe,Creative Bursts,Branch 3,"Whenever Harlowe enters Fight For Your Life, she throws a free Unstable Energy Pocket at a nearby enemy - if there are any.",https://img.game8.co/4265815/2414eb83f9c54406cf445f1ea3fed7cc.png/show
Highly Efficient,Harlowe,Creative Bursts,Branch 3,"Kill Skill. Whenever Harlowe kills an enemy with a Skill, Restore a portion of her Shield Capacity.",https://img.game8.co/4265812/66b3a02953b86c8733837299d5ca9c4f.png/show
Mechanical Brilliance,Harlowe,Creative Bursts,Branch 3,"Whenever Harlowe damages an enemy with a Skill, she gains increased Skill Damage. This effect can stack.",https://img.game8.co/4265814/152fe24f3d85784546b649feeec0f9dc.png/show
QED,Harlowe,Creative Bursts,Branch 3,"Melee Override. Harlowe attaches an Unstable Energy Pocket to her fist, and slams it into an enemy in front of her.",https://img.game8.co/4265791/01cb82608362d844136464887fc4c77f.png/show
Rounding Up,Harlowe,Creative Bursts,Branch 3,"For every enemy her Action Skill damages, Harlowe gains increased Gun Damage when her Action Skill ends. This effect can stack.",https://img.game8.co/4265813/9535d5e3cae189f862a901787c07e9d0.png/show
The Shattering Light,Harlowe,Creative Bursts,Branch 3,"Charge Skill. CHROMA Accelerator gains Charges as Harlowe keeps it readied for the Duration of CHROMA Accelerator or until all Charges are used. Holding the Action Skill ends The Shattering Light early and refunds a portion of the Cooldown for every Charge remaining. Press Action Skill: Fire a fast-moving Unstable Energy Pocket, consuming a Charge.",https://img.game8.co/4265820/c9cc4ecf5e40c575b66b52daeeda60b6.png/show
Domino Effect,Harlowe,Seize the Day,Branch 3,"Whenever Harlowe deals Splash Damage to an Entangled enemy, she gains a chance to trigger Entangled Damage Share again.",https://img.game8.co/4265866/a114d00ebb6bccb1a6a0141f9cb54165.png/show
Experimentation,Harlowe,Seize the Day,Branch 3,Kill Skill. Killing an Entangled enemy causes an Elemental Explosion on all other Entangled enemies.,https://img.game8.co/4265869/80f0788d4e662269161a62f7fce37840.png/show
Gordian Knot,Harlowe,Seize the Day,Branch 3,"Kill Skill. Whenever Harlowe kills an Entangled enemy, she gains a chance to instantly fully restore her Action Skill.",https://img.game8.co/4265847/dc5a5eddee8a8a38c9464db51830b18e.png/show
Ground State,Harlowe,Seize the Day,Branch 3,"Every time Harlowe Slams an enemy, gain increased Slam Damage and Slam Damage Radius. Enemies in Stasis take Decreased Damage. Press Action Skill to Slam all enemies in Stasis straight down.",https://img.game8.co/4265879/914a60fac7467845e56836bf3bdd8388.png/show
Indiscrete Math,Harlowe,Seize the Day,Branch 3,Harlowe gains increased Splash Damage.,https://img.game8.co/4265872/81a42fd3a1217e54310b615801911917.png/show
Inertia,Harlowe,Seize the Day,Branch 3,"Whenever an enemy Harlowe has in Stasis dies, a new enemy is automatically added to Stasis. When this happens, Harlowe's Action Skill Duration resets, however it drains quicker.",https://img.game8.co/4265871/fb1307e5f4d505b9978482fe1a9a4a0d.png/show
Sustained Reaction,Harlowe,Seize the Day,Branch 3,Kill Skill. Killing an Entangled enemy restores a portion of Harlowe's Action Skill Duration.,https://img.game8.co/4265874/e946f8d6fdad74a3154927c2f4f6f1a1.png/show
Abajo,Rafa,People Person,,"Whenever Rafa throws a Grenade, he gains increased Action Skill Cooldown Rate.",https://img.game8.co/4265473/b47ea9ecb129b9d62679f01e31d8bd8f.png/show
Al Centro,Rafa,People Person,,"Overdrive Skill. Rafa gains increased Gun Handling and Action Skill Handling while Overdrive is active. The longer Overdrive has been active, the greater the bonus.",https://img.game8.co/4265470/ca69ec0521d2827a823767dacb587f7e.png/show
Arriba,Rafa,People Person,,"Kill Skill. Whenever Rafa kills an enemy, he gains increased Ordnance Cooldown Rate.",https://img.game8.co/4265464/c6938f0e28afcf508bbae1cd24a5e7ae.png/show
Battery Subscription Service,Rafa,People Person,,"APOPHIS Lance gains an Additional Charge. Additionally, whenever Rafa consumes a set minimum number of Charges, he gains increased Action Skill Potency.",https://img.game8.co/4265468/183f6722fe1760b0d0d9cc339b957604.png/show
First Impression,Rafa,People Person,,The first shot fired from a fully-loaded Magazine gains increased Damage.,https://img.game8.co/4265465/3dabe850b5ff6f43aca08b2ea1f43106.png/show
Las Jaras,Rafa,People Person,,Overdrive Skill. Rafa Regenerates Ammo while Overdrive is active.,https://img.game8.co/4265463/9e5e69fce8d73f666db5daa81f3264e6.png/show
Metal Management,Rafa,People Person,,"Whenever Rafa activates or retriggers an Action Skill, his gun consumes no Ammo.",https://img.game8.co/4265475/885716dab6e3fbafea0c7a1caab6c75d.png/show
Pa' Dentro,Rafa,People Person,,Activating an Action Skill grants Rafa Health Regeneration.,https://img.game8.co/4265471/692cc0bdeb917b9c0989881d0c5cdae0.png/show
Preparado,Rafa,People Person,,"Whenever Rafa Reloads his current Gun, he gains increased Action Skill Cooldown Rate. This effect can stack.",https://img.game8.co/4265469/a4c7b042efeb11483aafc9c55379a72f.png/show
Rinse,Rafa,People Person,,Rafa gains increased Reload Speed.,https://img.game8.co/4265462/fc79b5c2153156dd60d2afa65f4af480.png/show
Sangre por Sangre,Rafa,People Person,,"Whenever Rafa consumes an APOPHIS Lance Charge, he gains increased Action Skill Cooldown Rate. This bonus is increased for every APOPHIS Lance Charge consumed.",https://img.game8.co/4265467/d87133a7a1072002352ba43eca3cace3.png/show
The Thrill (Rafa),Rafa,People Person,,"Overdrive Skill. Rafa gains increased Fire Rate, which is increased even further while Overdrive is active.",https://img.game8.co/4265466/7ca3ae57f7baa02101fe4f1e47583705.png/show
Bullet-Buddy Deluxe,Rafa,Remote Agent,,"While Peacebreaker Cannons are active, Rafa and his Allies Regenerate Ammo into their Magazine. Rafa's Peacebreaker Cannons deal Bonus Incendiary Damage based on how full his Gun is, and his Turrets shoot Exploding Bullets while his Magazine is full. Pressing Action Skill while Peacebreaker Cannons are active causes Rafa's shots to consume no Ammo, but causes his Action Skill Duration to drain faster.",https://img.game8.co/4265555/d2dc1426c465cb22140b855c382cef30.png/show
CYA,Rafa,Remote Agent,,Kill Skill. Killing an enemy restores Shields based on Rafa's Maximum Health Capacity.,https://img.game8.co/4265551/f994052ef2770d6d612744b684246b4e.png/show
Deft Hands,Rafa,Remote Agent,,Rafa and his Peacebreaker Cannons gain increased Fire Rate.,https://img.game8.co/4265547/1d1fca3aac75df47026ea6a711e1622a.png/show
