BORDERLANDS 4 — ACTOR NAME CATALOG
Actor file (gbxactor code) ↔ in-game display name
Generated: 2026-07-30T20:11:26.302Z
Source: references/bl4_toolbox_export/ncs/json
Total actors: 1376

Format:
  Char_* code                                   In-game name  (notes)
  Char_SpliceArm                                Handy Howard  (balance SpliceArm)
  Char_DigiZaneKiller_Boss_SpliceBuddy          High Ball  (balance Boss_DigiZane_SpliceBuddy)
  Char_Thresher_Icemaw_Named                    Ice Maw  (balance Icemaw_Named)
  Char_MeatheadFreeze                           Icebox  (balance FreezeRay)
  Char_Kraggon_Eldritch_BossRift                Krag'thulu  (balance Eldritch)
  Char_Bat_Kraggula_BossRift                    Kraggula  (balance Vampire)
  Char_BattleWagon_RocketTurret                 Launcher  (balance Drill_Boss_RocketTurret)
  Char_PsychoGeiger                             Leadhead  (balance GeigerPsycho)
  Char_MeatHead_MeatSplice                      Lucky Lou  (balance MeatSplice)
  Char_Mandolin_BruteBadass                     Mandolin Brute Badass
  Char_Mandolin_BruteBasic                      Mandolin Brute Basic
  Char_Mandolin_BruteMini_BossAdd               Mandolin Brute Mini Boss Add  (balance MiniBossAdd)
  Char_Mandolin_BruteSlaughterBoss_Mission      Mandolin Brute Slaughter Boss Mission  (balance Boss_BruteSlaughter_Mission)
  Char_Mandolin_SoldierAR                       Mandolin Soldier AR
  Char_Mandolin_SoldierAR_BossAdd               Mandolin Soldier AR Boss Add  (balance BossAdd)
  Char_Mandolin_SoldierBadass                   Mandolin Soldier Badass
  Char_Mandolin_SoldierShotgun                  Mandolin Soldier Shotgun
  Char_Mandolin_SoldierShotgun_BossAdd          Mandolin Soldier Shotgun Boss Add  (balance BossAdd)
  Char_Mandolin_SoldierSMG                      Mandolin Soldier SMG
  Char_Mandolin_SoldierSMG_BossAdd              Mandolin Soldier SMG Boss Add  (balance BossAdd)
  Char_Mandolin_StrikerBadass                   Mandolin Striker Badass
  Char_Mandolin_StrikerBasic                    Mandolin Striker Basic
  Char_Mandolin_StrikerBasic_BossAdd            Mandolin Striker Basic Boss Add  (balance BossAdd)
  Char_Mandolin_StrikerGuard                    Mandolin Striker Guard
  Char_Mandolin_StrikerGuard_BossAdd            Mandolin Striker Guard Boss Add  (balance BossAdd)
  Char_Mandolin_StrikerWard                     Mandolin Striker Ward
  Char_Mandolin_StrikerWard_BossAdd             Mandolin Striker Ward Boss Add  (balance BossAdd)
  Char_Mech_DroneCaptain_BossMini               Mech Drone Captain Boss Mini  (balance Bunker_DroneCaptain)
  Char_Leader_BountyPack1_Boss_MercenaryDay     Minister Screw  (balance BountyPack1_Boss_Leader_MercenaryDay)
  Char_OldThrash_Named                          Ol' Thrash  (balance OldThrash)
  Char_Scav_ScrapFusRo_BossRift                 Oldbeard Worldthroat  (balance ScrapFusRo)
  Char_PhalanxCreepy                            Poison Ivan  (balance Creepy)
  Char_PsychoRobot                              Psych0-Bot  (balance RoboPsycho)
  Char_Splice_Ripsaw                            Ripsaw  (balance Ripsaw)
  Char_DigiZaneKiller_Boss_DroneBuddy           Scartini  (balance Boss_DigiZane_DroneDefensive)
  Char_DigiZaneKiller_Boss_FloatingHead_DroneParent_Clone  Scartini  (balance None)
  Char_Mandolin_CoS_SoldierSniper               Sightline Armature  (balance Sniper)
  Char_Thresher_Fireskull_BossRift              Skullfire  (balance Fireskull)
  Char_Grunt_Slithertongue_BossRift             Slithertongue  (balance Slithertongue)
  Char_SpliceSpiderMana                         Spidananggal  (balance SpiderMana)
  Char_Splice_Hovercart                         Splice Hovercart  (balance SpliceHovercart)
  Char_Pangolin_BountyPack2_Boss_OrdiniteInfused  Stone Demon  (balance PangolinBoss)
  Char_Striker_Cleaner_BossMini_Replay_True     Striker Cleaner Boss Mini Replay True  (balance Striker_Cleaner_MiniBossTRUE)
  Char_Striker_Fixer_BossMini_Replay_True       Striker Fixer Boss Mini Replay True  (balance Striker_Fixer_MiniBossTRUE)
  Char_DigitalPsycho                            sTruCT Gh0sT  (balance DigiPsycho)
  Char_Meathead_OrdiniteInfused_MiniBoss        Sturm  (balance Meathead_OrdiniteInfused_MiniBoss)
  Char_UberLeaderP                              Subjugator  the Invincible  (balance LeaderBossUberRaid2)
  Char_MeatHead_TurretPlatform                  The Exterminator  (balance TurretPlatform)
  Char_GunShipBasic                             The Oppressor  (balance Basic)
  Char_Scav_Plugginator_BOSS                    The Plugginator  (balance Plugginator)
  Char_BigBoss                                  Thol  (balance BigBoss)
  Char_UberBigBoss                              Thol  the Invincible  (balance UberBigBoss)
  Char_ThreshOWar_Named                         Thresh O' War  (balance ThreshOWar_Named)
  Char_ThresherNightmare_SlithertongueHead      Thresher Nightmare Slithertongue Head
  Char_ThresherSwimingOnly                      Thresher Swiming Only
  Char_MutantFish                               Tidebreaker  (balance MutantFish)
  Char_BruteTitan                               Titan Defender
  Char_UberLeaderP_TRUE                         Uber Leader P TRUE  (balance LeaderBossUberRaid2_TRUE)
  Char_DroneWatchgrath                          Watchgrath  (balance Watchgrath)
  Char_WaterThresher                            Water Thresher

==============================================================================
NPCs (287)
Char_NPC_* — story, vendor, and ambient characters.
==============================================================================

  Char_NPC_Amara                                Amara  (parent Char_NPC)
  Char_NPC_PrisonBuddy                          Arjay  (parent Char_NPC)
  Char_NPC_NudgeCouncil04                       Asha  (parent Char_NPC_Gestalt)
  Char_NPC_BrainWashedAugers_Male               Auger Ghoul  (parent Char_PsychoBasic_Male)
  Char_NPC_GunToterBadass_Male                  Badass Rat-a-tat  (balance Badass)
  Char_NPC_QuarterMaster                        Bash  (parent Char_NPC_Gestalt)
  Char_NPC_GassyBeth                            Beth  (parent Char_NPC_Gestalt)
  Char_NPC_DigiZane_Detective                   Biff Fistful
  Char_NPC_DigiZane_Blade                       Blade Diaz
  Char_NPC_DigiZane_Victim                      Blade Diaz
  Char_NPC_WaterBrenda                          Brenda  (parent Char_NPC_Gestalt)
  Char_NPC_LifeCoach                            Brody Sattva  (balance Basic)
  Char_NPC_BruceBuddy                           Bruce  (parent Char_NPC_Brute_SHARED)
  Char_NPC_DigiZane_Bruno                       Bruno Hawk
  Char_NPC_Brute_SHARED                         Bulkhead  (balance Basic)
  Char_NPC_GunToter_BarKeepSue                  Butch  (parent Char_NPC_GunToterBadass_Male)
  Char_NPC_ScaredSurvivor                       Byron  (parent Char_NPC_Gestalt)
  Char_NPC_GunToter_CattieKatson                Catie Katson  (parent Char_NPC_GunToterBasic_Female)
  Char_NPC_CouncilArden                         Cautious Arden  (parent Char_NPC_Gestalt)
  Char_NPC_DigiZane_Reporter                    Chaz Monterosa
  Char_NPC_Claptrap                             Claptrap  (parent Char_NPC)
  Char_NPC_GrassScout                           Conway  (parent Char_NPC_Gestalt)
  Char_NPC_CrazyEarl                            Crazy Earl
  Char_NPC_EDDahlRomeo                          Dahl Romeo  (parent Char_NPC_DahlGruntSMG)
  Char_NPC_DahlGrunt_SHARED                     DahlGrunt (spawn Char_DahlGruntSMG instead)  (balance None)
  Char_NPC_NudgeCouncil09                       Damian  (parent Char_NPC_Gestalt)
  Char_NPC_Botanist                             Daphne  (parent Char_NPC_Gestalt)
  Char_NPC_BuddyScrap                           Defiant Calder  (parent Char_NPC)
  Char_NPC_CrashSurvivor                        Derek  (parent Char_NPC_Gestalt)
  Char_NPC_IslandGuide_CarnivalBarker           Dick  (parent Char_NPC_IslandGuide)
  Char_NPC_DigiZane                             Digi-Zane  (parent Char_NPC)
  Char_NPC_DigiZane_Forensics                   Dr. Goode Thinkly
  Char_NPC_Dunks                                Dunks Watson  (parent Char_NPC_Gestalt)
  Char_NPC_Ellie                                Ellie  (parent Char_NPC)
  Char_NPC_LavadulaSurvivor                     Emile  (parent Char_NPC_Gestalt)
  Char_NPC_EscapedPrisoners_F                   Escaped Prisoners  (parent Char_NPC_EscapedPrisoners_M)
  Char_NPC_VaultGatherers_F                     Escaped Prisoners  (parent Char_NPC_VaultGatherers_M)
  Char_NPC_NudgeCouncil06                       Felipe  (parent Char_NPC_Gestalt)
  Char_NPC_PlanetConman                         Francis Oddman  (parent Char_NPC_Gestalt)
  Char_NPC_PlanetConman_Corpse                  Francis Oddman  (parent Char_NPC_Gestalt)
  Char_NPC_MysteriousMurderer                   Froyo Guy  (parent Char_NPC_Gestalt)
  Char_NPC_GenBrute                             GenIVIV  (parent Char_NPC_Brute_SHARED)
  Char_NPC_FriendlyGeologist                    Gennifer  (parent Char_NPC_Gestalt)
  Char_NPC_NudgeCouncil05                       Gideon  (parent Char_NPC_Gestalt)
  Char_NPC_TechDylan                            Glitch  (parent Char_NPC_Gestalt)
  Char_NPC_Greg                                 Greg  (parent Char_NPC_Gestalt)
  Char_NPC_IslandGuide                          Harold  (parent Char_NPC)
  Char_NPC_Hermes                               Hermes  (parent Char_NPC_Cat_SHARED)
  Char_NPC_LeaderKotoLietenantHolo              Horace  (parent Char_NPC)
  Char_NPC_HunterHero                           Hunter  (parent Char_NPC_Gestalt)
  Char_NPC_GrassBossNPC_Hologram                Idolator Sol  (parent Char_NPC)
  Char_NPC_OrderDroneNPC_HologramProjector      Idolator's Witness  (parent Char_NPC_OrderDroneNPC)
  Char_NPC_RedPrice                             Interrogator Redd  (balance Badass)
  Char_NPC_PsychoBadass_Jankus                  Jankus  (parent Char_NPC_Psycho_SHARED)
  Char_NPC_FreedomJoe                           Joe  (parent Char_NPC_Gestalt)
  Char_NPC_CouncilStellan                       Joyless Stellan  (parent Char_NPC_Gestalt)
  Char_NPC_NudgeCouncil08                       Keanu  (parent Char_NPC_Gestalt)
  Char_NPC_NudgeCouncil01                       Khalil  (parent Char_NPC_Gestalt)
  Char_NPC_DemoEllis                            Kilo  (parent Char_NPC_Gestalt)
  Char_NPC_FoodHouseLeader                      Leader Kassandra  (parent Char_NPC_Gestalt)
  Char_NPC_ElectiMole                           Leader Willem  (balance Badass)
  Char_NPC_TechHouseLeader                      Leader Yorick  (parent Char_NPC_Gestalt)
  Char_NPC_LightHouseKeeper                     Leggies  (parent Char_NPC_Splice_SHARED)
  Char_NPC_ElectiSpeaker                        Leopold  (parent Char_NPC_Gestalt)
  Char_NPC_FallenAristocrat                     Levaine  (parent Char_NPC)
  Char_NPC_NudgeCouncil07                       Leyla  (parent Char_NPC_Gestalt)
  Char_NPC_Lilith                               Lilith  (parent Char_NPC)
  Char_NPC_BandManager                          Lisa FullFolja  (parent Char_NPC_Gestalt)
  Char_NPC_DigiZane_Bouncer                     Lunchbox Jubilee
  Char_NPC_CityLysett                           Lysett  (parent Char_NPC_Gestalt)
  Char_NPC_Mancubus                             Mancubus  (parent Char_NPC)
  Char_NPC_Marina                               Marina  (parent Char_NPC_Gestalt)
  Char_NPC_NudgeCouncil03                       Mateo  (parent Char_NPC_Gestalt)
  Char_NPC_VillageLeader                        Mayor Payne  (parent Char_NPC_Gestalt)
  Char_NPC_MeatheadBasic                        Meathead  (balance Basic)
  Char_NPC_MeatHead_SHARED                      Meathead (spawn Char_MeatheadBasic instead)  (parent Char_NPC_Bandit_SHARED)
  Char_NPC_GunToter_RipperJim                   Messaging Micki  (parent Char_NPC_GunToterBadass_Male)
  Char_NPC_CapturedAuger                        Meticulous Wilhelm  (parent Char_NPC_Gestalt)
  Char_NPC_MisterMiles                          Mister Miles  (parent Char_NPC_Gestalt)
  Char_NPC_PowerDrop                            Monty  (parent Char_NPC_Gestalt)
  Char_NPC_Cat_GhostMori                        Mori  (parent Char_NPC_CatBasic)
  Char_NPC_ThresherFarmer                       Mort  (parent Char_NPC_Gestalt)
  Char_NPC_Moxxi                                Moxxi  (parent Char_NPC)
  Char_NPC_Lilith_FullPhoenix                   Mysterious Figure  (parent Char_NPC_Lilith)
  Char_NPC_IslandGuide_TheaterActor             Nick  (parent Char_NPC_IslandGuide)
  Char_NPC_Splice_SHARED                        Not Spawnable Splice (spawn Char_SpliceBasic instead)  (parent Char_NPC_Bandit_SHARED)
  Char_NPC                                      NPC  (balance Assault)
  Char_NPC_Alan                                 NPC Alan  (balance BossAdd)
  Char_NPC_ArmyDahl_SHARED                      NPC Army Dahl SHARED  (parent Char_NPC)
  Char_NPC_ArmyOrder_SHARED                     NPC Army Order SHARED  (parent Char_NPC)
  Char_NPC_Bandit_SHARED                        NPC Bandit SHARED  (parent Char_NPC)
  Char_NPC_BeastTubeTurret                      NPC Beast Tube Turret  (parent Char_BanditTurret_Chaingun)
  Char_NPC_BoltInventor_Hologram                NPC Bolt Inventor Hologram  (parent Char_NPC_BoltInventor)
  Char_NPC_BrainWashedAugers                    NPC Brain Washed Augers
  Char_NPC_BrainWashedAugers_Female             NPC Brain Washed Augers Female  (parent Char_NPC_BrainWashedAugers_Male)
  Char_NPC_BuddyNudge_Hologram                  NPC Buddy Nudge Hologram  (parent Char_NPC_BuddyNudge)
  Char_NPC_CatBasic                             NPC Cat Basic  (parent Char_NPC_Cat_SHARED)
  Char_NPC_Cat_SHARED                           NPC Cat SHARED  (parent Char_NPC)
  Char_NPC_Cin_DahlGruntSMG                     NPC Cin Dahl Grunt SMG  (parent Char_NPC_DahlGruntSMG)
  Char_NPC_CIN_DahlGruntSprayer                 NPC CIN Dahl Grunt Sprayer  (parent Char_NPC_DahlGruntSMG)
  Char_NPC_CIN_DalhGruntEngineer                NPC CIN Dalh Grunt Engineer  (parent Char_NPC_DahlGruntSMG)
  Char_NPC_Cine_140MN0_DahlGruntMelee           NPC Cine 140MN0 Dahl Grunt Melee  (parent Char_NPC_DahlGrunt_SHARED)
  Char_NPC_Cine_140MN0_DahlGruntSMG             NPC Cine 140MN0 Dahl Grunt SMG  (parent Char_NPC_DahlGruntSMG)
  Char_NPC_Cine_140MN0_DahlGruntSprayer         NPC Cine 140MN0 Dahl Grunt Sprayer  (parent Char_NPC_DahlGruntSMG)
  Char_NPC_Cine_140MN0_DalhGruntEngineer        NPC Cine 140MN0 Dalh Grunt Engineer  (parent Char_NPC_DahlGruntSMG)
  Char_NPC_ColonyChef                           NPC Colony Chef  (parent Char_NPC_Gestalt)
  Char_NPC_Corpse                               NPC Corpse  (parent Char_NPC)
  Char_NPC_CrackMaBacky                         NPC Crack Ma Backy  (parent Char_NPC_TranshumanBasic_M)
  Char_NPC_Creep_SHARED                         NPC Creep SHARED  (parent Char_NPC)
  Char_NPC_CrimeLordHolo                        NPC Crime Lord Holo  (parent Char_NPC_CrimeLord)
  Char_NPC_CyberNinja                           NPC Cyber Ninja  (parent Char_NPC_PrisonBuddy)
  Char_NPC_DahlFather                           NPC Dahl Father  (parent Char_NPC_Gestalt)
  Char_NPC_DahlKid                              NPC Dahl Kid  (parent Char_NPC)
  Char_NPC_DahlPatient                          NPC Dahl Patient  (parent Char_NPC_Gestalt)
  Char_NPC_DemonHunter_Del                      NPC Demon Hunter Del  (parent Char_NPC_Gestalt)
  Char_NPC_DemonHunter_El                       NPC Demon Hunter El  (parent Char_NPC_Gestalt)
  Char_NPC_DemonHunterLackey                    NPC Demon Hunter Lackey  (parent Char_NPC_Gestalt)
  Char_NPC_DemonHunterLeader                    NPC Demon Hunter Leader  (parent Char_NPC_Gestalt)
  Char_NPC_DemonHunter_Nel                      NPC Demon Hunter Nel  (parent Char_NPC_Gestalt)
  Char_NPC_DrunkenDahlSoldier                   NPC Drunken Dahl Soldier  (parent Char_NPC_Gestalt)
  Char_NPC_Electi                               NPC Electi  (balance Assault)
  Char_NPC_ElectiBasic                          NPC Electi Basic
  Char_NPC_ElectiBasic_F                        NPC Electi Basic F  (parent Char_NPC_ElectiBasic_M)
  Char_NPC_ElectiBasic_M                        NPC Electi Basic M  (parent Char_NPC_Electi)
  Char_NPC_ElectiBroker                         NPC Electi Broker
  Char_NPC_ElectiBroker_F                       NPC Electi Broker F  (parent Char_NPC_ElectiBroker_M)
  Char_NPC_ElectiBroker_M                       NPC Electi Broker M  (parent Char_NPC_Electi)
  Char_NPC_ElectiCouncil01                      NPC Electi Council01  (parent Char_NPC_Gestalt)
  Char_NPC_ElectiCouncil02                      NPC Electi Council02  (parent Char_NPC_Gestalt)
  Char_NPC_ElectiCouncil03                      NPC Electi Council03  (parent Char_NPC_Gestalt)
  Char_NPC_ElectiCouncil04                      NPC Electi Council04  (parent Char_NPC_Gestalt)
  Char_NPC_ElectiCouncil05                      NPC Electi Council05  (parent Char_NPC_Gestalt)
  Char_NPC_ElectiCouncil06                      NPC Electi Council06  (parent Char_NPC_Gestalt)
  Char_NPC_ElectiCouncil07                      NPC Electi Council07  (parent Char_NPC_Gestalt)
  Char_NPC_ElectiCouncil08                      NPC Electi Council08  (parent Char_NPC_Gestalt)
  Char_NPC_ElectiCouncil09                      NPC Electi Council09  (parent Char_NPC_Gestalt)
  Char_NPC_ElectiDreg                           NPC Electi Dreg
  Char_NPC_ElectiDreg_F                         NPC Electi Dreg F  (parent Char_NPC_ElectiDreg_M)
  Char_NPC_ElectiDreg_M                         NPC Electi Dreg M  (parent Char_NPC_Electi)
  Char_NPC_ElectiIdol                           NPC Electi Idol
  Char_NPC_ElectiIdol_F                         NPC Electi Idol F  (parent Char_NPC_ElectiIdol_M)
  Char_NPC_ElectiIdol_M                         NPC Electi Idol M  (parent Char_NPC_Electi)
  Char_NPC_ElectiMole_Holo                      NPC Electi Mole Holo  (parent Char_NPC_ElectiMole)
  Char_NPC_Electi_PPPP                          NPC Electi PPPP
  Char_NPC_Electi_PPPP_F                        NPC Electi PPPP F  (parent Char_NPC_Electi_Possessed_M)
  Char_NPC_Electi_PPPP_M                        NPC Electi PPPP M  (parent Char_NPC_Electi)
  Char_NPC_EscapedPrisoners                     NPC Escaped Prisoners
  Char_NPC_EscapedPrisoners_M                   NPC Escaped Prisoners M  (balance Assault)
  Char_NPC_Farmer                               NPC Farmer  (balance Assault)
  Char_NPC_FarmerBasic                          NPC Farmer Basic
  Char_NPC_FarmerBasic_F                        NPC Farmer Basic F  (parent Char_NPC_FarmerBasic_M)
  Char_NPC_FarmerBasic_M                        NPC Farmer Basic M  (parent Char_NPC_Farmer)
  Char_NPC_Friendly_DahlGrunt                   NPC Friendly Dahl Grunt  (parent Char_NPC_Gestalt)
  Char_NPC_Friendly_ScavGuntoter                NPC Friendly Scav Guntoter  (parent Char_NPC_Gestalt)
  Char_NPC_Friendly_ScavGuntoter_Romeo          NPC Friendly Scav Guntoter Romeo  (parent Char_NPC_Gestalt)
  Char_NPC_Gestalt                              NPC Gestalt  (balance Badass)
  Char_NPC_GoldieScav                           NPC Goldie Scav  (parent Char_NPC_Gestalt)
  Char_NPC_Granny                               NPC Granny  (parent Char_NPC_Gestalt)
  Char_NPC_Grazer                               NPC Grazer  (balance Assault)
  Char_NPC_GrazerBasic                          NPC Grazer Basic
  Char_NPC_GrazerBasic_F                        NPC Grazer Basic F  (parent Char_NPC_GrazerBasic_M)
  Char_NPC_GrazerBasic_M                        NPC Grazer Basic M  (parent Char_NPC_Grazer)
  Char_NPC_GrazerBuilder                        NPC Grazer Builder
  Char_NPC_GrazerBuilder_F                      NPC Grazer Builder F  (parent Char_NPC_GrazerBuilder_M)
  Char_NPC_GrazerBuilder_M                      NPC Grazer Builder M  (parent Char_NPC_Grazer)
  Char_NPC_GrazerMountain_F                     NPC Grazer Mountain F  (parent Char_NPC_GrazerMountain_M)
  Char_NPC_GrazerMountain_M                     NPC Grazer Mountain M  (parent Char_NPC_GrazerBasic_M)
  Char_NPC_GruntBasic                           NPC Grunt Basic  (parent Char_NPC_Grunt_SHARED)
  Char_NPC_GruntHIK00                           NPC Grunt HIK00  (parent Char_NPC_GruntBasic)
  Char_NPC_GruntHIK01                           NPC Grunt HIK01  (parent Char_NPC_GruntBasic)
  Char_NPC_GruntHIK02                           NPC Grunt HIK02  (parent Char_NPC_GruntBasic)
  Char_NPC_GruntHIK03                           NPC Grunt HIK03  (parent Char_NPC_GruntBasic)
  Char_NPC_GruntHIK04                           NPC Grunt HIK04  (parent Char_NPC_GruntBasic)
  Char_NPC_GruntHIK05                           NPC Grunt HIK05  (parent Char_NPC_GruntBasic)
  Char_NPC_GruntHIK06                           NPC Grunt HIK06  (parent Char_NPC_GruntBasic)
  Char_NPC_GruntHIK07                           NPC Grunt HIK07  (parent Char_NPC_GruntBasic)
  Char_NPC_GunToterBadass                       NPC Gun Toter Badass
  Char_NPC_GunToterBadass_Female                NPC Gun Toter Badass Female  (parent Char_NPC_GunToterBadass_Male)
  Char_NPC_GunToterBasic                        NPC Gun Toter Basic
  Char_NPC_GunToterBasic_Female                 NPC Gun Toter Basic Female  (parent Char_NPC_GunToterBasic_Male)
  Char_NPC_GunToterBasic_Male                   NPC Gun Toter Basic Male  (parent Char_NPC_GunToter_Shared)
  Char_NPC_GunToter_Cine_Guntoter               NPC Gun Toter Cine Guntoter  (parent Char_NPC_GunToterBadass_Male)
  Char_NPC_GunToter_Cine_Guntoter_B             NPC Gun Toter Cine Guntoter B  (parent Char_NPC_GunToterBadass_Male)
  Char_NPC_LabTech01                            NPC Lab Tech01  (parent Char_NPC_Gestalt)
  Char_NPC_LabTech02                            NPC Lab Tech02  (parent Char_NPC_Gestalt)
  Char_NPC_LabTech03                            NPC Lab Tech03  (parent Char_NPC_Gestalt)
  Char_NPC_Moxxi_Cowbell                        NPC Moxxi Cowbell  (parent Char_NPC_Moxxi)
  Char_NPC_Payload                              NPC Payload  (parent Char_NPC_PayloadTruck)
  Char_NPC_PayloadTruck                         NPC Payload Truck  (parent Char_NPC)
  Char_NPC_PhalanxBasic                         NPC Phalanx Basic  (balance Basic1)
  Char_NPC_ScavGunToterAssault                  NPC Scav Gun Toter Assault  (balance Assault)
  Char_NPC_ScavGunToter_SHARED                  NPC Scav Gun Toter SHARED  (parent Char_NPC)
  Char_NPC_ScavPsychBadass                      NPC Scav Psych Badass  (parent Char_ScavPsychoBadass)
  Char_NPC_ScavRomeo                            NPC Scav Romeo  (parent Char_NPC_ScavGunToterAssault)
  Char_NPC_Speakeasy                            NPC Speakeasy
  Char_NPC_Speakeasy_F                          NPC Speakeasy F  (parent Char_NPC_Speakeasy_M)
  Char_NPC_Speakeasy_M                          NPC Speakeasy M  (parent Char_NPC_ElectiBasic_M)
  Char_NPC_StrikerBasic                         NPC Striker Basic  (parent Char_NPC_Striker_SHARED)
  Char_NPC_Survivalist                          NPC Survivalist  (balance Assault)
  Char_NPC_SurvivalistBasic                     NPC Survivalist Basic
  Char_NPC_SurvivalistBasic_F                   NPC Survivalist Basic F  (parent Char_NPC_SurvivalistBasic_M)
  Char_NPC_SurvivalistBasic_M                   NPC Survivalist Basic M  (parent Char_NPC_Survivalist)
  Char_NPC_SurvivalistJunker                    NPC Survivalist Junker
  Char_NPC_SurvivalistJunker_F                  NPC Survivalist Junker F  (parent Char_NPC_SurvivalistJunker_M)
  Char_NPC_SurvivalistJunker_M                  NPC Survivalist Junker M  (parent Char_NPC_Survivalist)
  Char_NPC_SurvivalistMilitant                  NPC Survivalist Militant
  Char_NPC_SurvivalistMilitant_F                NPC Survivalist Militant F  (parent Char_NPC_SurvivalistMilitant_M)
  Char_NPC_SurvivalistMilitant_M                NPC Survivalist Militant M  (parent Char_NPC_Survivalist)
  Char_NPC_SurvivalistWastelander               NPC Survivalist Wastelander
  Char_NPC_SurvivalistWastelander_F             NPC Survivalist Wastelander F  (parent Char_NPC_SurvivalistWastelander_M)
  Char_NPC_SurvivalistWastelander_M             NPC Survivalist Wastelander M  (parent Char_NPC_Survivalist)
  Char_NPC_TargetDummy_Cowbell                  NPC Target Dummy Cowbell  (parent Char_NPC_Gestalt)
  Char_NPC_ThresherAdult                        NPC Thresher Adult  (parent Char_ThresherAdult)
  Char_NPC_ThresherBadass                       NPC Thresher Badass  (parent Char_ThresherBadass)
  Char_NPC_Transhuman                           NPC Transhuman  (balance Assault)
  Char_NPC_TranshumanBasic                      NPC Transhuman Basic
  Char_NPC_TranshumanBasic_M                    NPC Transhuman Basic M  (parent Char_NPC_Transhuman)
  Char_NPC_TranshumanExos                       NPC Transhuman Exos
  Char_NPC_TranshumanExos_F                     NPC Transhuman Exos F  (parent Char_NPC_TranshumanExos_M)
  Char_NPC_TranshumanExos_M                     NPC Transhuman Exos M  (parent Char_NPC_Transhuman)
  Char_NPC_TranshumanNorms                      NPC Transhuman Norms
  Char_NPC_TranshumanNorms_F                    NPC Transhuman Norms F  (parent Char_NPC_TranshumanNorms_M)
  Char_NPC_TranshumanNorms_M                    NPC Transhuman Norms M  (parent Char_NPC_Transhuman)
  Char_NPC_TranshumanScions                     NPC Transhuman Scions
  Char_NPC_TranshumanScions_F                   NPC Transhuman Scions F  (parent Char_NPC_TranshumanScions_M)
  Char_NPC_TranshumanScions_M                   NPC Transhuman Scions M  (parent Char_NPC_Transhuman)
  Char_NPC_Transhumanbasic_F                    NPC Transhumanbasic F  (parent Char_NPC_TranshumanBasic_M)
  Char_NPC_VaultGatherers                       NPC Vault Gatherers
  Char_NPC_VaultGatherers_M                     NPC Vault Gatherers M  (balance BossAdd)
  Char_NPCGadget_AutoTurret_Base                NPCGadget Auto Turret Base  (parent Char_Gadget_AutoTurret_Base)
  Char_NPCGun                                   NPCGun  (parent Char_NPC)
  Char_NPC_MeatHead_NumbaTwo                    Numba Two  (parent Char_NPC_MeatheadBasic)
  Char_NPC_MoonShiner                           Ole Shammy  (parent Char_NPC_Gestalt)
  Char_NPC_CityLad01                            Orla  (parent Char_NPC_Gestalt)
  Char_NPC_ScrapperCharlie                      Orts  (parent Char_NPC_Gestalt)
  Char_NPC_ToolShopOwner                        Otis  (parent Char_NPC_Gestalt)
  Char_NPC_Grunt_SHARED                         Overwartchman  (parent Char_NPC_ArmyOrder_SHARED)
  Char_NPC_CityLad02                            Pádraic  (parent Char_NPC_Gestalt)
  Char_NPC_DismemberedBody                      Pádraic  (parent Char_NPC_Gestalt)
  Char_NPC_CameraDrone                          Penelope Streams  (parent Char_DroneBasic)
  Char_NPC_Phalanx_SHARED                       Phalanx  (balance None)
  Char_NPC_ScrappyFence                         Pickett Fenster  (parent Char_NPC_Gestalt)
  Char_NPC_DavisPickle                          Pickle  (parent Char_NPC_Gestalt)
  Char_NPC_RipperScientist                      Prof. Ambreleigh  (balance Badass)
  Char_NPC_Psycho_SHARED                        Psycho  (balance Basic)
  Char_NPC_ElectiSurvivor                       Quent  (parent Char_NPC_Gestalt)
  Char_NPC_GunToter_Shared                      Rat-a-tat  (parent Char_NPC_Bandit_SHARED)
  Char_NPC_OldRay                               Raymond  (parent Char_NPC_Gestalt)
  Char_NPC_RestlessArwa                         Restless Arwa  (parent Char_NPC_Gestalt)
  Char_NPC_EngineerKobi                         Rhodes  (parent Char_NPC_Gestalt)
  Char_NPC_IslandGuide_MovieTrailer             Rick  (parent Char_NPC_IslandGuide)
  Char_NPC_BuddyNudge                           Rush  (parent Char_NPC)
  Char_NPC_NudgeCouncil02                       Samar  (parent Char_NPC_Gestalt)
  Char_NPC_DyingAuger                           Scholarly Jacob  (parent Char_NPC_Gestalt)
  Char_NPC_ScoutHorn                            Scout Horn  (parent Char_NPC_Gestalt)
  Char_NPC_MeatHead_SecurityDude                Security Jones  (parent Char_NPC_MeatheadBasic)
  Char_NPC_PPPP_ElectiRando                     Selene  (parent Char_NPC_Gestalt)
  Char_NPC_BossLowen                            Shim  (parent Char_NPC_Gestalt)
  Char_NPC_Skarlette                            Skarlette  (parent Char_NPC_Gestalt)
  Char_NPC_FlatSam                              Skeptical Sam  (parent Char_NPC_Gestalt)
  Char_NPC_Mandolin_ArcadeDrunk                 Slosh
  Char_NPC_SmileyMan                            Smiley Man  (parent Char_NPC_Gestalt)
  Char_NPC_SNTNL                                SNTNL  (parent Char_Drone_SHARED)
  Char_NPC_Thresher_Sophia                      Sophia  (parent Char_NPC_ThresherBadass)
  Char_NPC_Striker_SHARED                       Striker Engine  (balance Basic)
  Char_NPC_FreedomSue                           Sue  (parent Char_NPC_Gestalt)
